Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction	Pamela Mayorcas	http://www.mt-archive.info/70/Aslib-1988-Mayrocas.pdf			vii	
Ten years of machine translation design and application: from FAHQT to realism	Professor Juan Sager	http://www.mt-archive.info/70/Aslib-1988-Sager.pdf			3	
The role of computer-aided translation in translation services	A. T. Zirkle	http://www.mt-archive.info/70/Aslib-1988-Zirkle.pdf			11	
Criteria for selecting MT systems	Isabella Moore	http://www.mt-archive.info/70/Aslib-1988-Moore.pdf			18	
Multilingual word processing for translation	David C. Jackson	http://www.mt-archive.info/70/Aslib-1988-Jackson.pdf			31	
Session 1: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1988-Hinchliffe.pdf			42	
International (tele)coms: a guide for the faint-hearted	Barry Mahon	http://www.mt-archive.info/70/Aslib-1988-Mahon.pdf			47	
Information on demand: online retrieval for external databases	J. A. Large	http://www.mt-archive.info/70/Aslib-1988-Large.pdf			57	
Low cost information retrieval packages	Forbes Gibb	http://www.mt-archive.info/70/Aslib-1988-Gibb.pdf			67	
Session 2: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1988-Slade.pdf			68	
Introduction: Text typology and machine translation: an overview	Douglas Arnold	http://www.mt-archive.info/70/Aslib-1988-Arnold.pdf			73	
Pre-editing and the use of simplified writing for MT	Peter Pym	http://www.mt-archive.info/70/Aslib-1988-Pym.pdf			80	
User experience of Termbase	Alain Paillet	http://www.mt-archive.info/70/Aslib-1988-Paillet.pdf			97	
The automated translation of software, particularly the user interface and user manuals	Mike Scott	http://www.mt-archive.info/70/Aslib-1988-Scott.pdf			109	
Session 3: Summary of the discussion		http://www.mt-archive.info/70/Aslib-1988-Dean.pdf			119	
Machine aids for translators: what does the future betoken?	Francis E. Knowles	http://www.mt-archive.info/70/Aslib-1988-Knowles.pdf			125	
Language conversion in the audiovisual media: a growth area with new technical applications and professional qualifications	Dr George-Michael Luyken	http://www.mt-archive.info/70/Aslib-1988-Luyken.pdf			125	
Themes in the work of Margaret Masterman	Yorick Wilks	http://www.mt-archive.info/70/Aslib-1988-Wilks.pdf			148	
Session 4: Summary of the discussion 		http://www.mt-archive.info/70/Aslib-1988-Kingscott.pdf			161	
Biographical notes on speakers and chairpersons					165	
List of participants					169	
